page,ink_ratio,edge_density,symmetry_score,tile_var_mean,tile_var_std,empty_fraction,max_empty,margin_activity,loop_intensity,cluster_intensity,mirror_intensity,gap_intensity,margin_break_intensity
62,0.5981312843862645,0.24873837981407704,0.1770709753036499,0.21287548542022705,0.04905794933438301,0.015306122448979591,0.0049800796812749,0.9900398406374502,0.5199819826541511,0.2725441629687945,0.588535487651825,0.02143975119928449,1.0
63,0.5999810282678809,0.24994545627015746,0.1110369935631752,0.22944213449954987,0.05709340050816536,0.015306122448979591,0.0049800796812749,0.9949535192563081,0.5504658430477763,0.31718555837869644,0.5555184967815876,0.02143975119928449,1.0
64,0.5982356289129197,0.24919370138493643,0.13040682673454285,0.23413722217082977,0.04717594012618065,0.015306122448979591,0.0049800796812749,0.9930942895086321,0.5585035356692087,0.2620885562565592,0.5652034133672714,0.02143975119928449,1.0
65,0.5978609372035667,0.25,0.17324700951576233,0.25805577635765076,0.07115926593542099,0.0,0.0,0.9474103585657371,0.6020003974437713,0.3953292551967833,0.5866235047578812,0.0,1.0
66,0.5999407133371277,0.25,0.16560916602611542,0.2557840645313263,0.06154876574873924,0.0,0.0,0.9848605577689243,0.5979113161563874,0.3419375874929958,0.5828045830130577,0.0,1.0
67,0.5990324416619237,0.24999762853348512,0.1686994582414627,0.25941988825798035,0.07208077609539032,0.02040816326530612,0.0049800796812749,0.9654714475431607,0.6044544945577814,0.4004487560855018,0.5843497291207314,0.025266281811529394,1.0
68,0.5997154240182129,0.24995257066970214,0.1643042266368866,0.23675334453582764,0.06435149163007736,0.030612244897959183,0.0049800796812749,0.9543160690571049,0.5636299340328259,0.3575082868337631,0.5821521133184433,0.032919343036019184,1.0
69,0.5999075128059191,0.24999762853348512,0.11173916608095169,0.2554338276386261,0.06840953230857849,0.0,0.0,0.950730411686587,0.5972795854429438,0.38005295726988053,0.5558695830404758,0.0,1.0
70,0.5987526086131664,0.24958025042686396,0.11172496527433395,0.258428692817688,0.06701016426086426,0.015306122448979591,0.0049800796812749,0.952191235059761,0.6024407848066136,0.37227869033813477,0.555862482637167,0.02143975119928449,1.0
71,0.5994853917662682,0.24998339973439576,0.13138701021671295,0.2408437728881836,0.07087628543376923,0.030612244897959183,0.0049800796812749,0.950066401062417,0.5710096610526482,0.3937571412987179,0.5656935051083565,0.032919343036019184,1.0
72,0.5941306203756404,0.24998102826788085,0.19385990500450134,0.26468729972839355,0.07326570153236389,0.015306122448979591,0.0049800796812749,0.9529880478087649,0.6139267050584429,0.40703167517979943,0.5969299525022507,0.02143975119928449,1.0
73,0.5999478277366723,0.24999051413394044,0.2367415577173233,0.23455291986465454,0.0607733353972435,0.025510204081632654,0.0049800796812749,0.9539176626826029,0.5596900385300454,0.33762964109579724,0.6183707788586617,0.02909281242377429,1.0
74,0.5987620944792259,0.24990988427243407,0.12807388603687286,0.2279166728258133,0.07392580807209015,0.015306122448979591,0.0049800796812749,0.950332005312085,0.5477004474363026,0.41069893373383415,0.5640369430184364,0.02143975119928449,1.0
75,0.5985937203566686,0.24921504458357047,0.19720835983753204,0.2092762440443039,0.06691809743642807,0.01020408163265306,0.0049800796812749,0.9637450199203187,0.5137655138007108,0.37176720798015594,0.598604179918766,0.017613220587039596,1.0
76,0.5980625118573326,0.2498031682792639,0.2160998284816742,0.21310587227344513,0.0627536028623581,0.01020408163265306,0.0049800796812749,0.9377158034528552,0.5209823126457964,0.3486311270131005,0.6080499142408371,0.017613220587039596,1.0
77,0.5996988237526086,0.2499952570669702,0.11272566020488739,0.2351164072751999,0.05824999138712883,0.030612244897959183,0.0049800796812749,0.948339973439575,0.5607069244821934,0.32361106326182687,0.5563628301024437,0.032919343036019184,1.0
78,0.599867197875166,0.24986008347562133,0.15643054246902466,0.22200818359851837,0.07388348877429962,0.02040816326530612,0.0049800796812749,0.9181746031746032,0.5370377763889248,0.4104638265238868,0.5782152712345123,0.025266281811529394,1.0
79,0.5995683930942896,0.2491462720546386,0.2297392636537552,0.21235062181949615,0.06906915456056595,0.025510204081632654,0.0049800796812749,0.9600265604249668,0.5192615689051443,0.3837175253364775,0.6148696318268776,0.02909281242377429,1.0
80,0.5992435021817492,0.2499644280022766,0.1375797539949417,0.20671270787715912,0.0654231458902359,0.00510204081632653,0.0049800796812749,0.9937583001328021,0.5095633095801386,0.3634619216124217,0.5687898769974709,0.013786689974794698,1.0
81,0.5999881426674255,0.24998339973439576,0.053071651607751846,0.2741578221321106,0.06713233888149261,0.00510204081632653,0.0049800796812749,0.9318725099601594,0.6309749496917167,0.3729574382305145,0.5265358258038759,0.013786689974794698,1.0
82,0.5997059381521533,0.2499715424018213,0.06976333260536194,0.25193843245506287,0.06432732194662094,0.030612244897959183,0.0049800796812749,0.9664010624169986,0.5909735267401149,0.35737401081456077,0.534881666302681,0.032919343036019184,1.0
83,0.5984585467653196,0.2495067349649023,0.13917754590511322,0.23634113371372223,0.05762982368469238,0.015306122448979591,0.0049800796812749,0.9958831341301461,0.5626427449153963,0.3201656871371799,0.5695887729525566,0.02143975119928449,1.0
84,0.5998600834756214,0.25,0.12813661992549896,0.23429127037525177,0.061598148196935654,0.00510204081632653,0.0049800796812749,0.9974767596281541,0.5592242866754532,0.3422119344274203,0.5640683099627495,0.013786689974794698,1.0
85,0.5999501992031873,0.24984111174350218,0.10245552659034729,0.21983452141284943,0.058786503970623016,0.02040816326530612,0.0049800796812749,0.9958831341301461,0.5331147500020552,0.32659168872568345,0.5512277632951736,0.025266281811529394,1.0
86,0.5976071902864731,0.2499264845380383,0.11364078521728516,0.22539782524108887,0.07230367511510849,0.02040816326530612,0.0049800796812749,0.9698539176626826,0.543175651929881,0.40168708397282493,0.5568203926086426,0.025266281811529394,1.0
87,0.5978633086700815,0.2499952570669702,0.19138196110725403,0.22534918785095215,0.06597255170345306,0.01020408163265306,0.0049800796812749,0.9596031746031746,0.5431259295185475,0.3665141761302948,0.595690980553627,0.017613220587039596,1.0
88,0.5999478277366723,0.25,0.06137145683169365,0.2234521061182022,0.05274379253387451,0.02040816326530612,0.0049800796812749,0.9806108897742364,0.5397137910127641,0.2930210696326362,0.5306857284158468,0.025266281811529394,1.0
89,0.5967463479415671,0.25,0.1277439296245575,0.21135848760604858,0.07415346056222916,0.04081632653061224,0.0049800796812749,0.9795484727755644,0.5179452776908875,0.41196366979016197,0.5638719648122787,0.04057240426050898,1.0
90,0.5974459305634604,0.2499952570669702,0.05635751783847809,0.21190135180950165,0.06616179645061493,0.015306122448979591,0.0049800796812749,0.9669322709163347,0.5189198246439366,0.3675655358367496,0.528178758919239,0.02143975119928449,1.0
91,0.6,0.24999762853348512,0.11554589122533798,0.234629288315773,0.07823393493890762,0.03571428571428571,0.0049800796812749,0.945683930942895,0.5598314146618082,0.43463297188282013,0.557772945612669,0.03674587364826409,1.0
92,0.5993976475052172,0.249933598937583,0.17304155230522156,0.21049149334430695,0.06558532267808914,0.04081632653061224,0.0049800796812749,0.9569721115537848,0.5163481674354231,0.3643629037671619,0.5865207761526108,0.04057240426050898,1.0
93,0.5999833997343957,0.25,0.02796928770840168,0.22699682414531708,0.07489756494760513,0.030612244897959183,0.0049800796812749,0.9871181938911022,0.5460942834615707,0.41609758304225075,0.5139846438542008,0.032919343036019184,1.0
94,0.5937084993359893,0.24999762853348512,0.16053347289562225,0.22409506142139435,0.0774630755186081,0.03571428571428571,0.0049800796812749,0.9790172642762284,0.5408698062519266,0.43035041954782277,0.5802667364478111,0.03674587364826409,1.0
95,0.5951313792449251,0.24994071333712767,0.01601438783109188,0.23690177500247955,0.06114829331636429,0.03571428571428571,0.0049800796812749,0.9840637450199203,0.5638905873398834,0.3397127406464683,0.5080071939155459,0.03674587364826409,1.0
96,0.5997486245494213,0.24973439575033202,0.10500006377696991,0.2288619428873062,0.0705130398273468,0.030612244897959183,0.0049800796812749,0.9756972111553784,0.5493054148598338,0.3917391101519267,0.552500031888485,0.032919343036019184,1.0
97,0.5999359704040979,0.24999051413394044,0.09012157469987869,0.232243612408638,0.07674355059862137,0.015306122448979591,0.0049800796812749,0.9561904761904761,0.5555332851092156,0.4263530588812298,0.5450607873499393,0.02143975119928449,1.0
98,0.5994142477708215,0.25,0.10734330862760544,0.2406182438135147,0.07475266605615616,0.015306122448979591,0.0049800796812749,0.9564409030544488,0.5706128388643266,0.41529258920086753,0.5536716543138027,0.02143975119928449,1.0
99,0.5997083096186682,0.24998339973439576,0.0823960080742836,0.236469566822052,0.06683486700057983,0.03571428571428571,0.0049800796812749,0.9877822045152722,0.5631360901336113,0.37130481666988796,0.5411980040371418,0.03674587364826409,1.0
100,0.5978490798709922,0.24986245494213621,0.13002613186836243,0.24644868075847626,0.07300814986228943,0.02040816326530612,0.0049800796812749,0.9678618857901726,0.5810319755834322,0.4056008325682746,0.5650130659341812,0.025266281811529394,1.0
101,0.5984443179662303,0.2487431227471068,0.23224768042564392,0.2288222759962082,0.060934558510780334,0.01020408163265306,0.0049800796812749,0.99800796812749,0.5486888143040836,0.33852532505989075,0.616123840212822,0.017613220587039596,1.0
102,0.5957787896034908,0.24999762853348512,0.0974472388625145,0.24006028473377228,0.06509925425052643,0.030612244897959183,0.0049800796812749,0.9932270916334661,0.569607208214207,0.3616625236140357,0.5487236194312572,0.032919343036019184,1.0
103,0.5999620565357617,0.2499952570669702,0.098796047270298,0.2421787530183792,0.07154448330402374,0.015306122448979591,0.0049800796812749,0.9596281540504648,0.5734191468199162,0.3974693516890208,0.549398023635149,0.02143975119928449,1.0
104,0.5999288560045533,0.24998102826788085,0.28713786602020264,0.23836348950862885,0.07385068386793137,0.025510204081632654,0.0049800796812749,0.9865873015873016,0.5665438466628665,0.41028157704406315,0.6435689330101013,0.02909281242377429,1.0
105,0.5987122936824132,0.25,0.23519328236579895,0.22313539683818817,0.07128021866083145,0.015306122448979591,0.0049800796812749,0.9625498007968127,0.5391437143087388,0.39600121478239697,0.6175966411828995,0.02143975119928449,1.0
106,0.5995233352305065,0.24997865680136597,0.12915322184562683,0.2318176031112671,0.07012087851762772,0.02040816326530612,0.0049800796812749,0.9625498007968127,0.554759946841032,0.3895604362090429,0.5645766109228134,0.025266281811529394,1.0
107,0.5987146651489281,0.24998814266742553,0.20909036695957184,0.22588986158370972,0.06787676364183426,0.04081632653061224,0.0049800796812749,0.9798140770252324,0.5440952293177616,0.3770931313435237,0.6045451834797859,0.04057240426050898,1.0
108,0.5953922405615633,0.24998339973439576,0.1644904762506485,0.2382654994726181,0.06824100017547607,0.030612244897959183,0.0049800796812749,0.9833997343957503,0.5663687689046303,0.37911666764153373,0.5822452381253242,0.032919343036019184,1.0
109,0.5970949535192563,0.24985771200910642,0.11602762341499329,0.22420834004878998,0.06611207872629166,0.015306122448979591,0.0049800796812749,0.9877822045152722,0.5409967536928305,0.36728932625717586,0.5580138117074966,0.02143975119928449,1.0
110,0.5986885790172642,0.24953044963005122,0.16781467199325562,0.20792555809020996,0.05982421338558197,0.02040816326530612,0.0049800796812749,0.9836507936507937,0.5115077518589062,0.332356741031011,0.5839073359966278,0.025266281811529394,1.0
111,0.6,0.24997628533485108,0.08446591347455978,0.24223941564559937,0.06080855429172516,0.01020408163265306,0.0049800796812749,0.9837301587301587,0.573517905096247,0.33782530162069535,0.5422329567372799,0.017613220587039596,1.0
112,0.599845854676532,0.24999288560045532,0.1273169070482254,0.22724060714244843,0.06562915444374084,0.01020408163265306,0.0049800796812749,0.9839309428950863,0.5465291799366576,0.36460641357633805,0.5636584535241127,0.017613220587039596,1.0
113,0.5990300701954089,0.24999051413394044,0.1841919720172882,0.22730477154254913,0.061574000865221024,0.01020408163265306,0.0049800796812749,0.9407142857142857,0.5466433715502557,0.34207778258456123,0.5920959860086441,0.017613220587039596,1.0
114,0.5945432555492316,0.24999051413394044,0.0470992811024189,0.22753065824508667,0.05394511669874191,0.00510204081632653,0.0049800796812749,0.9674603174603175,0.5470499676148233,0.29969509277078843,0.5235496405512094,0.013786689974794698,1.0
